feature,importance
lag_24,0.30071430063887644
lag_48,0.2882992136958528
roll_mean_3,0.08329183721604005
roll_std_6,0.06470704347750354
roll_max_3,0.057455713062551275
hour_cos,0.052150003480506475
lag_1,0.05158640731882827
roll_min_3,0.02131328606583617
roll_max_12,0.01568576816050326
roll_max_6,0.013859506656007305
lag_22,0.008907037376724207
lag_46,0.008820798823780451
lag_23,0.0038406528057567542
lag_45,0.0036358777865515245
lag_21,0.00353429363581888
roll_min_6,0.00261717948671922
roll_std_12,0.0024706229919588827
lag_47,0.0019937510080988694
roll_std_3,0.0010916147618036094
roll_max_24,0.001065267649468322
lag_20,0.0010537428799909528
lag_30,0.0010397682934893456
lag_44,0.000889891987532012
lag_29,0.0007504570794500025
lag_28,0.000643600482592756
lag_6,0.0006075827045478042
roll_mean_6,0.0005718615995937222
roll_mean_12,0.00051136803038794
lag_8,0.0004987167026714592
lag_31,0.00046015874048349126
lag_2,0.00038635758031905994
lag_27,0.0003663053588083082
lag_7,0.00036077124895650533
hour_sin,0.00032664002426989296
lag_32,0.0003192887045724165
lag_25,0.0002989067726540379
roll_std_24,0.0002745737592653172
lag_4,0.00026909496391794806
lag_3,0.00026746179324672176
lag_5,0.0002657843316489667
hour,0.00022406990600565955
roll_mean_24,0.0002141404370670578
roll_max_48,0.00020871771677741406
roll_mean_48,0.0001731580650612583
lag_40,0.00017114911106933683
lag_26,0.00015084772255372298
roll_mean_96,0.00012363084401119574
roll_std_96,0.00012338060888610923
roll_std_48,0.00012051950558506843
roll_max_96,0.00011390568118017295
lag_43,0.0001012177057325252
lag_39,9.8416730331223e-05
day,9.752379368399335e-05
lag_16,9.454498095069793e-05
lag_41,8.569654106751558e-05
dow_sin,8.415438182757784e-05
lag_19,8.122865855861858e-05
lag_33,7.203200566027828e-05
dow,6.808939452632699e-05
lag_17,6.585857453867519e-05
lag_18,6.076239128337749e-05
lag_42,4.3594743776192006e-05
lag_15,3.9571102401103294e-05
dow_cos,3.936536785000502e-05
lag_9,2.4102673895960533e-05
month_cos,2.1650419599452597e-05
lag_10,2.110056565341331e-05
lag_38,1.840552044939316e-05
month,1.3045454459726376e-05
lag_14,1.0316596272973977e-05
month_sin,1.0029922425480201e-05
lag_37,7.5247760597136685e-06
lag_11,6.911351286339212e-06
lag_35,4.561859238799257e-06
lag_12,1.2252338938650088e-06
lag_36,1.133206759126974e-06
lag_34,1.055012280334246e-06
lag_13,8.425196251798643e-07
roll_min_12,9.780130022533173e-09
roll_min_24,0.0
roll_min_48,0.0
roll_min_96,0.0
quarter,0.0
